224.5,134.5
226,138
227,139.5
227.5,141
226,140.5
231,140
231,139
226,134.5
227.5,131.5
226,125.5
221,119
217.5,118
217.5,115
216,111
211.5,109
214.5,104.5
218.5,105.5
222,107.5
222,107
225.5,110
229,111.5
228.5,114
229,118.5
228,118.5
227,122
228,120.5
226,121.5
229.5,123
228,127.5
229.5,127
229,127.5
231,125.5
233.5,121
236.5,114.5
236,110
235.5,106
240,103
244.5,100.5
248.5,99
248.5,98
248.5,99
252,100.5
251.5,103
251.5,109
256.5,114
256.5,122.5
254,128.5
258,135.5
260.5,143.5
266.5,151
275,158.5
274,162
276,156.5
278.5,152.5
283.5,147.5
286,149
290.5,142
297.5,137
301.5,144.5
304.5,147.5
305.5,153.5
312,152.5
322.5,157.5
322,160.5
320,162
334.5,166.5
335.5,167
335.5,167.5
335.5,166
336.5,167.5
334,166
336,165.5
342,162
342.5,162
339.5,158
345.5,154
345,154.5
344,155
345,155
346,151
346,152
347.5,149.5
344.5,148.5
344,146.5
346,149
345.5,147.5
343.5,148.5
345.5,148.5
344.5,148
344,144.5
344.5,145.5
343,147
343.5,148
342.5,147
342.5,144
344,144.5
344,146
343.5,145
343.5,141.5
342.5,140.5
341.5,135.5
341.5,135.5
340,136.5
347,133
347,135
348,139.5
349,140.5
344.5,146
343.5,148
344,149
341,147.5
343.5,148.5
340.5,146.5
341.5,148
342.5,151
339.5,149
339.5,150
340.5,147
341.5,146
342.5,144
344,142
344.5,138
345.5,142.5
343.5,139.5
344,141
345.5,140
347.5,136
346.5,138
346.5,141
350,144.5
352,144.5
349,148.5
347.5,149.5
348.5,148.5
346,147
345,148
345.5,147
347.5,145
343,145.5
344,145.5
344,142.5
344,142.5
345.5,139.5
346.5,138.5
347,140.5
347.5,140.5
348,140.5
346.5,141
347,142
347.5,143.5
351,142.5
351,141
348.5,142.5
347,135.5
342.5,142
343.5,146.5
343,148
336.5,149.5
339.5,150.5
337,152
338,154
336.5,147
338,148
339,148
339,143
341.5,142.5
339.5,140.5
338,142.5
340.5,139.5
338.5,137.5
342.5,136.5
342.5,143
343.5,142
343.5,142
343.5,138
341.5,139
344.5,142
342,144.5
342,145.5
340.5,146.5
339.5,147.5
341.5,148
338,147
342,144.5
341.5,143.5
342,144
341.5,150
341,148.5
338.5,146.5
343,145.5
341.5,141.5
342.5,139
342,140.5
339,138
334,135.5
335,137
334.5,139
341,136
343,138.5
341,135.5
340,138
341.5,136.5
339,136
337.5,137
335.5,138.5
337.5,139
339.5,139
336.5,138.5
339.5,139.5
338,140
338.5,139.5
336.5,143.5
339.5,143
337.5,142.5
338,136
336,136.5
337,137.5
338.5,135.5
338,136
337,136.5
338,133
337,133.5
339,130
336,130.5
336.5,131
336.5,129.5
339.5,129
338.5,126.5
338.5,129
338.5,127
334,129.5
332,128
332,126
331.5,129
326.5,126.5
327.5,124.5
326.5,122.5
321.5,123
315,124
313,121.5
315,122.5
318.5,121.5
312,124.5
313.5,119.5
312,120
308.5,116
307,113
303.5,114
302,114.5
298,114.5
297,115
298.5,112.5
298,111.5
301,113
311.5,118
317,119
314,119
315,118.5
319,116.5
319,116.5
320,115.5
318,114.5
319,114
315,116.5
311,112.5
306.5,111
309,115.5
306.5,113
301.5,114.5
303.5,108.5
303.5,106.5
301,107.5
302,111.5
302,117.5
304.5,115
301,120.5
303.5,122
308.5,118.5
312,118.5
316,119
320,113.5
318.5,114.5
320,114.5
315.5,114.5
313,110
317.5,114
312.5,118
312,120.5
303.5,123
301,125
296,129
291,125
292.5,120.5
292.5,117.5
291,113
284,117.5
282.5,118.5
283,124
284,126.5
285,132.5
287.5,134
293.5,131.5
295.5,131
298.5,127
303.5,121
304.5,121.5
308,117.5
309.5,121.5
308,124.5
310,128
305,131.5
304.5,134.5
300,134.5
299.5,135
300,137.5
300.5,130.5
298,124.5
299,122
298.5,118.5
299.5,118
298.5,120
300,119.5
300.5,123
299.5,123
299.5,124
304,119
305,116
308.5,115
312,110.5
314,109
312,107
316,109.5
316,110.5
316,116
314,122
315.5,125
314,131
314,132
311,132.5
310,128.5
310,124.5
309.5,120
308.5,117.5
309.5,116.5
308,116.5
309,121
308.5,123.5
309,129
306.5,129.5
306.5,129
303.5,129.5
304.5,132
299,127.5
299.5,127
299.5,125.5
301,126.5
301,127
303.5,127.5
301.5,134.5
298,131.5
296,137
299.5,138
296.5,139.5
293.5,139
293.5,138.5
